Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
87346800,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
87397820,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87448840,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
87499860,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87550880,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
87601900,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87652920,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
87703940,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
87754960,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
87805980,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87857000,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
87908020,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
87959040,-76.51,62.89,0.0,0.00,0.0,0.0,0.0
88010060,-82.53,62.89,0.0,0.00,0.0,0.0,0.0
88061080,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88112100,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88163120,-82.47,66.23,0.0,0.00,0.0,0.0,0.0
88214140,-82.47,-113.77,0.0,0.00,0.0,0.0,0.0
88265160,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88316180,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88367200,-82.47,66.23,0.0,0.00,0.0,0.0,0.0
88418220,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88469240,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88520260,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88571280,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88622300,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88673320,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88724340,-82.47,-113.77,0.0,0.00,0.0,0.0,0.0
88775360,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88826380,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
88877400,-82.47,66.23,0.0,0.00,0.0,0.0,0.0
