"Frequency(Hz)","Transmission Loss(dB)","±Phase(deg)"
92448800.000,82.342,72.906
92499820.000,82.342,72.906
92550840.000,90.000,180.000
92601860.000,82.342,72.906
92652880.000,82.342,72.906
92703900.000,90.000,180.000
92754920.000,90.000,180.000
92805940.000,79.331,-152.094
92856960.000,82.342,72.906
92907980.000,82.342,162.906
92959000.000,82.342,72.906
93010020.000,82.342,162.906
93061040.000,90.000,180.000
93112060.000,82.342,72.906
93163080.000,82.342,72.906
93214100.000,82.342,72.906
93265120.000,90.000,180.000
93316140.000,82.342,72.906
93367160.000,82.342,72.906
93418180.000,79.331,27.906
93469200.000,82.342,72.906
93520220.000,82.342,72.906
93571240.000,90.000,180.000
93622260.000,90.000,180.000
93673280.000,90.000,180.000
93724300.000,90.000,180.000
93775320.000,79.331,117.906
93826340.000,90.000,180.000
93877360.000,90.000,180.000
93928380.000,82.342,-107.094
93979400.000,82.342,-107.094
94030420.000,82.342,-17.094
94081440.000,90.000,180.000
94132460.000,90.000,180.000
94183480.000,90.000,180.000
94234500.000,90.000,180.000
94285520.000,90.000,180.000
94336540.000,90.000,180.000
94387560.000,90.000,180.000
94438580.000,82.274,76.256
94489600.000,90.000,180.000
94540620.000,82.274,76.256
94591640.000,82.274,166.256
94642660.000,82.274,76.256
94693680.000,90.000,180.000
94744700.000,82.274,76.256
94795720.000,90.000,180.000
94846740.000,90.000,180.000
94897760.000,90.000,180.000
94948780.000,90.000,180.000
94999800.000,90.000,180.000
95050820.000,90.000,180.000
95101840.000,90.000,180.000
95152860.000,82.274,76.256
95203880.000,90.000,180.000
95254900.000,82.274,76.256
95305920.000,90.000,180.000
95356940.000,82.274,76.256
95407960.000,82.274,76.256
95458980.000,90.000,180.000
95510000.000,90.000,180.000
95561020.000,82.274,76.256
95612040.000,82.274,-13.744
95663060.000,90.000,180.000
95714080.000,90.000,180.000
95765100.000,82.274,166.256
95816120.000,90.000,180.000
95867140.000,90.000,180.000
95918160.000,90.000,180.000
95969180.000,90.000,180.000
