Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
89642700,-82.47,-113.77,0.0,0.00,0.0,0.0,0.0
89693720,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89744740,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89795760,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89846780,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89897800,-82.47,66.23,0.0,0.00,0.0,0.0,0.0
89948820,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
89999840,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90050860,-82.47,-113.77,0.0,0.00,0.0,0.0,0.0
90101880,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90152900,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90203920,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90254940,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90305960,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90356980,-82.40,69.56,0.0,0.00,0.0,0.0,0.0
90408000,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90459020,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90510040,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90561060,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90612080,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90663100,-82.40,69.56,0.0,0.00,0.0,0.0,0.0
90714120,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90765140,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90816160,-82.40,69.56,0.0,0.00,0.0,0.0,0.0
90867180,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90918200,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
90969220,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
91020240,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
91071260,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
91122280,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
91173300,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
91224320,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
91275340,-90.00,180.00,0.0,0.00,0.0,0.0,0.0
